year,energy_idx,metals_idx,treasury_10y
1960,2.13444915445322,12.6770778233,
1961,2.08333169406974,12.369630777851668,
1962,2.04291400240146,12.214250090276666,
1963,2.01464105072438,12.289817194860833,
1964,1.94437457589987,14.570200111290832,
1965,1.93898601535253,16.497048207839168,
1966,1.88204058774968,17.431512393353334,
1967,1.86618435986511,15.325879938919169,
1968,1.8530034009857903,16.042502417214166,
1969,1.8125949477925305,17.989051351480835,
1970,2.11311453784639,18.273841085033336,
1971,2.709369390519665,16.800773216596667,
1972,2.925284971973655,16.462218840978334,
1973,4.1740098635899,21.490282126235837,
1974,13.802962241260351,26.70617307809083,
1975,13.84935723139145,23.3422712595075,
1976,15.370148105249768,25.340498519605003,
1977,16.846376315863335,28.3308162265125,
1978,17.6700444112475,30.7013947920475,
1979,39.03839955154417,39.051749295695835,
1980,46.78437620970083,42.878847527219165,
1981,46.86210123226667,33.8773899610475,
1982,44.011514775991664,28.893736042564168,
1983,39.34468226803583,34.38814132534917,
1984,37.824056428120834,30.891198659875,
1985,36.146212587788334,28.241577532265833,
1986,21.850390239965833,28.349369930905834,
1987,24.517931423233335,36.072014074388335,
1988,21.191834597374164,56.431433751965834,
1989,24.662863360593335,51.569472723,
1990,30.949021346759167,45.337687595655005,8.55
1991,27.007531205638333,38.57241981198667,7.86
1992,26.21400696194333,37.31883515755167,7.01
1993,23.948416059371667,32.143741894946665,5.87
1994,22.3258144956725,38.566149100511666,7.09
1995,23.877853702459166,46.9623746867525,6.57
1996,29.022069419731665,40.05542094931167,6.44
1997,26.85881326531,41.29030551610417,6.35
1998,19.067487103873333,33.764743252164166,5.26
1999,24.415498725165,33.52692270648166,5.64
2000,39.21563779829833,38.249278110175,6.03
2001,35.04610770737167,34.383090241616664,5.02
2002,33.9716759496875,33.08425939618667,4.61
2003,41.3968275069725,36.83175532692667,4.02
2004,53.4414764960525,49.281274322469166,4.27
2005,75.38773034964417,60.10369102587166,4.29
2006,85.39766682462,91.92306481570834,4.79
2007,94.3691471970525,108.12447552985915,4.63
2008,129.03409536099085,102.22371012060916,3.66
2009,79.35657336958751,68.41676522365167,3.26
2010,100.0,100.00000000000084,3.22
2011,135.21507073254082,113.49124257509168,2.78
2012,134.1224715624725,96.12756237207668,1.8
2013,131.6529681968725,90.80847565448916,2.35
2014,120.4023577311275,84.7904406203575,2.54
2015,66.09910600088416,66.93781916701333,2.14
2016,56.023883710765006,62.9680745207775,1.84
2017,69.35798926664417,78.199712999125,2.33
2018,89.35813828858,82.51012543675417,
2019,78.25171393643667,78.35898702328583,
2020,52.683813690884165,79.14750453153833,
2021,95.3815361163275,116.44446633159832,
2022,152.573938331975,115.02407389721084,
2023,106.95201084624584,103.996654098975,
2024,101.52471797244584,106.74162038439331,
